global_prod_id,product_name
P0491,الفاكالسيدول 2م نقط20مل س ج/ثلاجة/الاسراء
P0492,يو بى ام اميون كبسول
P0493,ديفيدو 75مج 30ك س ج/تبوك
P0494,دولو دى شراب 115مل/برج
P0495,زيثروكان 500مج 3ك  س ج/حكمة
P0496,زوركال 40مج 14ق س ق/ايه يو جى
P0497,بايو لجام 8قرص 60/100 مجم /بايوميد
P0498,اوبتيجارد قطرة س ج/فاركو
P0499,هيلسك 40مج 14ك س ج/برج
P0500,كوردو سبراى 60مل س ج/ماكرو
P0501,بريدوكايين كريم 15جم س ج/جلوبال نابي
P0502,كاندلاكان 8مج 14ق س ج/المستقبل
